ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000003824,MICAL1,2550.33325,-0.815348134,0.21152457,-3.854626128,0.000115907,0.035601633
ENSCAFG00000024753,NA,1153.259398,-0.831082473,0.215928116,-3.848884943,0.000118657,0.035817963
ENSCAFG00000006250,SPRY4,217.8310133,-4.659654321,1.218304006,-3.824705737,0.000130928,0.038002497
ENSCAFG00000014716,PSME3,3420.75533,0.521727012,0.136348782,3.826414899,0.000130023,0.038002497
ENSCAFG00000024792,NA,1961.471143,5.375253975,1.406419888,3.821941102,0.000132405,0.038002497
ENSCAFG00000000259,OS9,4698.664431,0.838373307,0.220274016,3.806047222,0.000141205,0.039874592
ENSCAFG00000012831,CNIH2,10.73673604,3.130858679,0.823518265,3.801808424,0.000143644,0.039919291
ENSCAFG00000000367,ENPP3,61.38461047,-5.802353892,1.531314624,-3.789132424,0.000151174,0.041355624
ENSCAFG00000007401,NA,8.680696713,4.21889876,1.115832849,3.780941531,0.000156236,0.042082866
ENSCAFG00000012521,TLK1,1942.505327,-0.795115954,0.210781004,-3.772237237,0.00016179,0.042549376
ENSCAFG00000012923,DSCAML1,37.37827,-5.720080683,1.517004923,-3.770640818,0.000162829,0.042549376
ENSCAFG00000049379,NA,18.64955311,-4.898205667,1.300991866,-3.764977932,0.000166564,0.042885277
ENSCAFG00000023324,S100A12,20.79650554,4.555425531,1.211472512,3.760238459,0.000169751,0.04307259
ENSCAFG00000000303,AIG1,713.0735841,-0.657225052,0.175193512,-3.751423458,0.000175833,0.043978454
ENSCAFG00000014413,SPOCK2,51.07965729,-3.975788828,1.061158979,-3.746647682,0.000179214,0.044192538
ENSCAFG00000009313,PHF21A,774.4356658,-0.875851826,0.236567766,-3.702329538,0.000213629,0.051947425
ENSCAFG00000000450,TSPAN8,417.9469178,7.590970778,2.053616279,3.696391996,0.000218685,0.052448507
ENSCAFG00000003059,SNX30,1023.967534,-1.84454413,0.499798426,-3.690576107,0.000223747,0.052886148
ENSCAFG00000047776,NA,17.12369151,-2.969583071,0.805331097,-3.687406436,0.000226551,0.052886148
ENSCAFG00000024903,MAFB,950.5500601,3.96233584,1.07937081,3.670968127,0.000241633,0.055664722
ENSCAFG00000001586,TREM2,65.55649926,9.84355179,2.711009114,3.630954886,0.000282375,0.064205371
ENSCAFG00000014309,RASGRP2,291.1148063,-4.473681207,1.233754786,-3.626069993,0.000287767,0.06459271
ENSCAFG00000009461,PHYHIP,3.841523321,3.510904524,0.970731188,3.616762876,0.00029831,0.066111615
