ID,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000303,CCDC28A,745.6732799,0.616161743,0.2126612,2.897386755,0.003762856,0.143462426
ENSCAFG00000000305,TSPAN31,360.5208657,0.22314777,0.213590121,1.044747616,0.296139631,0.75769304
ENSCAFG00000000307,REPS1,334.6941261,0.124223257,0.17516311,0.70918618,0.478208948,0.856470689
ENSCAFG00000000308,CDK4,2106.367561,0.248391091,0.415804621,0.597374533,0.550257353,0.884455595
ENSCAFG00000000309,ABRACL,1124.980385,0.326248999,0.240709961,1.355361435,0.17530243,0.656794531
ENSCAFG00000000310,HECA,223.5275025,0.161328775,0.387837499,0.415970026,0.677431936,0.924671015
ENSCAFG00000000311,TXLNB,705.4640359,-0.554982256,1.458519064,-0.3805108,0.703566281,0.932322962
ENSCAFG00000000312,CITED2,1106.853516,0.548078074,0.315907925,1.734929802,0.08275324,0.508431498
ENSCAFG00000000314,CYP27B1,1429.258266,0.320423026,0.192366631,1.665689229,0.095775328,0.530715258
ENSCAFG00000000316,NA,146.0295919,0.181641728,1.08688719,0.167121049,0.867274804,0.977514789
ENSCAFG00000000317,METTL1,12.17966166,0.466112926,0.401058573,1.162206614,0.245151549,0.720704149
ENSCAFG00000000318,NA,848.2103332,0.560130505,0.28465289,1.967766792,0.049094877,0.421137384
ENSCAFG00000000320,TSFM,1173.104631,0.266265024,0.241066027,1.104531513,0.269362641,0.736020253
ENSCAFG00000000322,NMBR,1267.927892,-0.277752108,0.3737919,-0.743066151,0.457441632,0.850449175
ENSCAFG00000000323,VTA1,1076.63843,-0.059000948,0.206755485,-0.285365817,0.775363894,0.953164907
ENSCAFG00000000326,ADGRG6,7700.645395,0.492476527,0.493180656,0.99857227,0.318001939,0.773781043
ENSCAFG00000000327,AVIL,349.3318656,0.304563785,0.200934816,1.515734264,0.12958656,0.591257877
ENSCAFG00000000329,HIVEP2,25.34346885,0.654699823,0.434393938,1.507156906,0.131770443,0.596877109
ENSCAFG00000000330,AIG1,313.2531256,0.080843861,0.182412909,0.443191555,0.657627187,0.918731736
ENSCAFG00000000331,NA,2.084350359,-0.175569501,0.889051261,-0.197479615,0.843452232,NA
ENSCAFG00000000333,ADAT2,2170.177117,0.020421413,0.249003276,0.08201263,0.93463667,0.989795924
ENSCAFG00000000334,PEX3,584.4008222,-1.514247598,1.09263115,-1.385872623,0.165785802,0.641976494
ENSCAFG00000000335,CTDSP2,491.1149324,0.315528232,0.259513728,1.215844087,0.224044321,0.7030211
ENSCAFG00000000336,FUCA2,17782.28662,0.165498196,0.155722949,1.062773328,0.287884758,0.751179623
ENSCAFG00000000337,ATP23,1161.374964,0.115452743,0.753632776,0.15319496,0.878244532,0.980762698
ENSCAFG00000000339,LRIG3,0.573653257,-0.839887562,3.145735201,-0.266992454,0.789474971,NA
ENSCAFG00000000340,PHACTR2,73.84507718,-0.017244343,0.228476163,-0.075475458,0.939836423,0.990646923
ENSCAFG00000000341,NA,297.1017691,0.029871724,0.279494329,0.106877744,0.914885969,0.98435892
ENSCAFG00000000344,SLC16A7,992.8372437,0.260457238,0.295812692,0.880480266,0.378599191,0.80939987
ENSCAFG00000000345,ZC2HC1B,620.3054229,0.277948392,0.623177289,0.446018166,0.655584124,0.917328635
ENSCAFG00000000347,PLAGL1,0.042479817,0.363712678,3.158006234,0.115171615,0.908309097,NA
ENSCAFG00000000348,SERF2,30348.09292,-0.158460794,0.221005564,-0.716999118,0.473374641,0.855256249
ENSCAFG00000000350,STX11,833.2232166,-0.240599473,0.251928048,-0.955032498,0.339561263,0.786155103
ENSCAFG00000000351,USP15,35.04530289,0.494558771,0.39854123,1.240922479,0.214634388,0.695476975
ENSCAFG00000000352,UTRN,9156.11106,-0.087003099,0.193370384,-0.449929807,0.652761054,0.916587521
ENSCAFG00000000353,NA,1674.579286,0.332427168,0.525973569,0.632022573,0.527372127,0.875525528
ENSCAFG00000000354,EPM2A,2.598866291,-0.464155221,0.917088598,-0.506118189,0.612773682,0.906913402
ENSCAFG00000000355,FBXO30,6013.98653,-0.383273745,0.229287718,-1.671584278,0.094606327,0.528604659
ENSCAFG00000000356,NA,1434.178519,0.098616192,0.195644809,0.504057288,0.61422112,0.907363436
