gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000009654,ACSS2,846.4636912,-0.026775219,0.113988001,0.213985199,0.879762676
ENSCAFG00000009818,BIN2,216.6417722,-0.026785289,0.179304873,0.140194521,0.80912699
ENSCAFG00000004698,GEN1,1630.656885,-0.026789859,0.099287594,0.378119082,0.946872952
ENSCAFG00000001417,EFR3A,180.3382931,-0.026795302,0.106023577,0.282620059,0.910997013
ENSCAFG00000006510,CAPN5,2315.309688,-0.026801262,0.113149853,0.218641289,0.883376072
ENSCAFG00000009275,REEP5,397.63123,-0.026806796,0.097392931,0.402054012,0.951442009
ENSCAFG00000008721,MARCHF8,17.09140585,-0.02681781,0.118712213,0.192047311,0.868860144
ENSCAFG00000001489,ST3GAL1,1404.51909,-0.026819078,0.09817916,0.392254844,0.949456382
ENSCAFG00000002106,TOM1,254.7435121,-0.026819421,0.098366596,0.389870054,0.949342391
ENSCAFG00000020067,DLG4,669.3770726,-0.026822653,0.092041985,0.452423041,0.956856831
ENSCAFG00000045412,TERB1,6.089968648,-0.026824853,0.131170487,0.161960951,0.839614211
ENSCAFG00000005104,FAM120B,224.6217945,-0.026851629,0.103932445,0.310071254,0.926065446
ENSCAFG00000007817,SERTM1,462.9182278,-0.026863431,0.100012418,0.367137887,0.945475913
ENSCAFG00000016588,SRMS,11.29203292,-0.02687937,0.224698916,0.154405613,0.827089131
ENSCAFG00000017591,PRKRA,1559.428802,-0.026881427,0.096916243,0.406592581,0.952284796
ENSCAFG00000001582,PTCH1,17.84385131,-0.026890244,0.11785799,0.194650751,0.870076483
ENSCAFG00000012018,RTF1,320.1559293,-0.026898322,0.119777238,0.187563826,0.864161421
ENSCAFG00000043709,ATP2C2,9.482234401,-0.026898733,0.134854608,0.156249247,0.830074432
ENSCAFG00000015309,FAM204A,1188.585448,-0.026900212,0.104924971,0.295729769,0.916478763
ENSCAFG00000046680,NA,50.40601776,-0.026904001,0.10212474,0.335889784,0.934312931
ENSCAFG00000009561,CEP70,792.0894604,-0.026915275,0.102717647,0.326987618,0.930088155
ENSCAFG00000039462,NAA60,77.72069013,-0.026917804,0.180524662,0.139173405,0.80912699
ENSCAFG00000004857,HSD17B14,1250.339694,-0.026933547,0.10411817,0.306495195,0.92434798
ENSCAFG00000012030,DNMBP,8.750429757,-0.02693531,0.122091802,0.180083569,0.858280986
ENSCAFG00000014196,PDGFA,1644.192788,-0.026937102,0.094606698,0.429699114,0.954181702
ENSCAFG00000000905,ZBED4,250.2672626,-0.02694669,0.108981059,0.248836826,0.894398257
ENSCAFG00000003749,KLK1,234.0868302,-0.026955371,0.12198205,0.180219124,0.858280986
ENSCAFG00000008851,DEFB129,1427.708894,-0.026972542,0.103093653,0.320786884,0.928254062
ENSCAFG00000013771,IGSF11,64.03353018,-0.026981347,0.205194566,0.144681341,0.81526199
ENSCAFG00000002264,NA,1353.208111,-0.026984121,0.107460289,0.263817968,0.900371275
ENSCAFG00000021568,PLEK2,37.50072823,-0.026984558,0.114051453,0.211647408,0.877370659
ENSCAFG00000031370,COPS3,17.74783834,-0.026999288,0.10304962,0.321115944,0.928254062
