gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000015604,AP2M1,153.623861,-0.100432602,0.526797602,0.008966899,0.611542526,,,,
ENSCAFG00000013966,XG,4.604988613,-0.092730287,0.482325845,0.009057181,0.61490475,,,,
ENSCAFG00000024500,NA,31.60359499,-0.076140388,0.380795478,0.009220156,0.623149673,,,,
ENSCAFG00000000433,NA,2523.410758,-0.127807023,0.727774848,0.009410539,0.624759866,,,,
ENSCAFG00000001820,FGD2,150.1592277,0.069223375,0.100034335,0.009341343,0.624759866,,,,
ENSCAFG00000003907,XPO1,591.556205,0.074839248,0.093657364,0.009360805,0.624759866,,,,
ENSCAFG00000005368,TMEM60,13.11059422,0.070936415,0.348062626,0.009379148,0.624759866,,,,
ENSCAFG00000003755,CCDC85A,9.359763627,0.054583495,0.179351029,0.009527913,0.627003563,,,,
ENSCAFG00000044709,GFOD2,173.0092482,-0.096938439,0.079948681,0.009487116,0.627003563,,,,
ENSCAFG00000007095,SGSH,12.30816215,-0.069304564,0.340491596,0.009593106,0.62853693,,,,
ENSCAFG00000017633,RALGPS2,488.5393008,0.080194654,0.088880144,0.009679822,0.628727502,,,,
ENSCAFG00000041350,NA,6.899844534,-0.090187624,0.480218938,0.009664247,0.628727502,,,,
ENSCAFG00000007551,CHGB,104.30932,-0.090308811,0.48455367,0.009828207,0.630425791,,,,
ENSCAFG00000018081,POGLUT3,1944.70003,-0.054275289,0.156036557,0.00983202,0.630425791,,,,
ENSCAFG00000029327,SLC14A1,187.4131132,0.062436685,0.11041935,0.009772012,0.630425791,,,,
ENSCAFG00000010152,ARNTL,10.51610068,-0.108705004,0.611269451,0.010128367,0.640653908,,,,
ENSCAFG00000010934,FSTL5,75.10538281,-0.080525207,0.427801552,0.010132389,0.640653908,,,,
ENSCAFG00000019916,KRT35,129.5346723,-0.053754983,0.154030655,0.010115394,0.640653908,,,,
ENSCAFG00000041639,ACOT7,71.24545446,0.056996305,0.246533077,0.010162332,0.640653908,,,,
ENSCAFG00000005063,EHD2,9.211861009,-0.066716785,0.333786209,0.010256901,0.641227287,,,,
ENSCAFG00000005284,FBXL13,84.60421297,-0.085528459,0.462611225,0.010241663,0.641227287,,,,
ENSCAFG00000013511,PDE4DIP,2182.271193,0.063503818,0.105334272,0.01031409,0.642127018,,,,
ENSCAFG00000018666,PLCD4,301.3736896,-0.110429,0.631389368,0.010374673,0.643229731,,,,
ENSCAFG00000045162,NA,41.92080043,0.05424385,0.13853237,0.010492141,0.647835727,,,,
ENSCAFG00000005522,NA,1150.222458,0.064980379,0.101762988,0.010572307,0.649712825,,,,
ENSCAFG00000031985,GPC3,1413.9824,-0.085500367,0.084586947,0.010609147,0.649712825,,,,
ENSCAFG00000004222,NA,1113.667249,0.074322857,0.091051315,0.010819662,0.65053067,,,,
ENSCAFG00000005075,SEC61A1,1638.500699,0.059403844,0.11165793,0.010873674,0.65053067,,,,
ENSCAFG00000008364,ERCC6,49.42809953,0.067016929,0.098536354,0.010679755,0.65053067,,,,
ENSCAFG00000012182,TTC3,48.98245136,-0.052470332,0.203249887,0.010882644,0.65053067,,,,
