,ensembl_gene_id,Hugo_Symbol
431,ENSCAFG00000000584,ZNF706
432,ENSCAFG00000000586,CPT1B
433,ENSCAFG00000000587,GRHL2
434,ENSCAFG00000000588,ALDH7A1
435,ENSCAFG00000000589,NOX3
436,ENSCAFG00000000590,PHAX
437,ENSCAFG00000000592,TEX43
438,ENSCAFG00000000593,LMNB1
439,ENSCAFG00000000594,MARCHF3
440,ENSCAFG00000000595,NA
441,ENSCAFG00000000598,APOM
442,ENSCAFG00000000600,C6orf47
443,ENSCAFG00000000601,GPANK1
444,ENSCAFG00000000602,RRM2B
445,ENSCAFG00000000603,NCAPH2
446,ENSCAFG00000000604,NA
447,ENSCAFG00000000606,LY6G5C
448,ENSCAFG00000000607,ABHD16A
449,ENSCAFG00000000608,ARID1B
450,ENSCAFG00000000609,ADM2
451,ENSCAFG00000000610,NA
452,ENSCAFG00000000611,MEGF10
453,ENSCAFG00000000612,SBF1
454,ENSCAFG00000000613,NA
455,ENSCAFG00000000614,LY6G6C
456,ENSCAFG00000000615,MPIG6B
457,ENSCAFG00000000616,TMEM242
458,ENSCAFG00000000617,DDAH2
459,ENSCAFG00000000618,ZDHHC14
460,ENSCAFG00000000619,UBR5
461,ENSCAFG00000000620,PPP6R2
462,ENSCAFG00000000621,CLIC1
463,ENSCAFG00000000622,PRRC1
464,ENSCAFG00000000624,NA
465,ENSCAFG00000000625,CCDC192
466,ENSCAFG00000000626,NA
467,ENSCAFG00000000627,SNX9
468,ENSCAFG00000000628,SAPCD1
469,ENSCAFG00000000629,DENND6B
470,ENSCAFG00000000630,VWA7
471,ENSCAFG00000000632,NA
472,ENSCAFG00000000634,NA
473,ENSCAFG00000000636,VARS1
474,ENSCAFG00000000637,SLC12A2
475,ENSCAFG00000000638,KLF10
476,ENSCAFG00000000639,HSPA1L
477,ENSCAFG00000000641,NA
478,ENSCAFG00000000642,NEU1
479,ENSCAFG00000000643,AZIN1
480,ENSCAFG00000000644,SYNJ2
481,ENSCAFG00000000646,NA
482,ENSCAFG00000000647,SERAC1
483,ENSCAFG00000000649,ATP6V1C1
484,ENSCAFG00000000652,TULP4
485,ENSCAFG00000000653,NA
486,ENSCAFG00000000654,FZD6
487,ENSCAFG00000000655,TMEM181
488,ENSCAFG00000000656,CTHRC1
489,ENSCAFG00000000657,DYNLT1
490,ENSCAFG00000000658,SLC44A4
491,ENSCAFG00000000659,SYTL3
492,ENSCAFG00000000661,EZR
493,ENSCAFG00000000663,DCAF13
494,ENSCAFG00000000664,RSPH3
495,ENSCAFG00000000665,TAGAP
496,ENSCAFG00000000667,FNDC1
497,ENSCAFG00000000669,EHMT2
498,ENSCAFG00000000670,RIMS2
499,ENSCAFG00000000671,SOD2
500,ENSCAFG00000000673,PLXNB2
501,ENSCAFG00000000674,ZBTB12
502,ENSCAFG00000000675,DCSTAMP
503,ENSCAFG00000000676,DPYS
504,ENSCAFG00000000677,LRP12
505,ENSCAFG00000000678,ZFPM2
506,ENSCAFG00000000679,SKIV2L
507,ENSCAFG00000000680,OXR1
508,ENSCAFG00000000681,FBN2
509,ENSCAFG00000000682,ABRA
510,ENSCAFG00000000683,NA
511,ENSCAFG00000000685,MAPK12
512,ENSCAFG00000000686,C2
513,ENSCAFG00000000688,HDAC10
514,ENSCAFG00000000689,TUBGCP6
515,ENSCAFG00000000690,NELFE
516,ENSCAFG00000000691,IGF2R
517,ENSCAFG00000000692,SELENOO
518,ENSCAFG00000000693,ANGPT1
519,ENSCAFG00000000694,DXO
520,ENSCAFG00000000696,RSPO2
521,ENSCAFG00000000697,NA
522,ENSCAFG00000000698,TRABD
523,ENSCAFG00000000699,PANX2
524,ENSCAFG00000000700,MOV10L1
525,ENSCAFG00000000701,NA
526,ENSCAFG00000000702,EIF3E
527,ENSCAFG00000000703,MLC1
528,ENSCAFG00000000704,TTLL8
529,ENSCAFG00000000706,IL17REL
530,ENSCAFG00000000709,CRELD2
531,ENSCAFG00000000710,SLC27A6
532,ENSCAFG00000000711,ALG12
533,ENSCAFG00000000712,CYP21A2
534,ENSCAFG00000000713,NA
535,ENSCAFG00000000714,ZBED4
536,ENSCAFG00000000716,TMEM74
537,ENSCAFG00000000717,TRHR
538,ENSCAFG00000000718,BRD1
539,ENSCAFG00000000719,NUDCD1
540,ENSCAFG00000000720,ACAT2
541,ENSCAFG00000000721,ISOC1
542,ENSCAFG00000000722,ADAMTS19
543,ENSCAFG00000000723,MINAR2
544,ENSCAFG00000000727,NA
545,ENSCAFG00000000731,NA
546,ENSCAFG00000000732,TCP1
547,ENSCAFG00000000736,LYRM7
548,ENSCAFG00000000737,CDC42SE2
549,ENSCAFG00000000738,EBAG9
550,ENSCAFG00000000740,PNLDC1
551,ENSCAFG00000000741,SYBU
552,ENSCAFG00000000742,MAS1
553,ENSCAFG00000000743,NA
554,ENSCAFG00000000744,KCNV1
555,ENSCAFG00000000745,TBC1D22A
556,ENSCAFG00000000749,NA
557,ENSCAFG00000000751,TNXB
558,ENSCAFG00000000752,CERK
559,ENSCAFG00000000755,FNIP1
560,ENSCAFG00000000756,GRAMD4
561,ENSCAFG00000000757,SLC22A2
562,ENSCAFG00000000758,PLG
563,ENSCAFG00000000760,MAP3K4
564,ENSCAFG00000000761,ATF6B
565,ENSCAFG00000000764,PRRT1
566,ENSCAFG00000000765,AGPAT4
567,ENSCAFG00000000766,PPT2
568,ENSCAFG00000000767,CELSR1
569,ENSCAFG00000000768,EGFL8
570,ENSCAFG00000000769,PRKN
571,ENSCAFG00000000770,PACRG
572,ENSCAFG00000000771,AGPAT1
573,ENSCAFG00000000772,QKI
574,ENSCAFG00000000774,RNF5
575,ENSCAFG00000000776,NA
576,ENSCAFG00000000777,AGER
577,ENSCAFG00000000779,TRMU
578,ENSCAFG00000000781,C1H6orf118
579,ENSCAFG00000000782,GTSE1
580,ENSCAFG00000000783,PBX2
581,ENSCAFG00000000784,TTC38
582,ENSCAFG00000000785,PKDREJ
583,ENSCAFG00000000786,CSMD3
584,ENSCAFG00000000787,CDPF1
585,ENSCAFG00000000788,PPARA
586,ENSCAFG00000000789,WNT7B
587,ENSCAFG00000000790,GPSM3
