ENSCAF (results),ensembl_gene_id,Hugo_Symbol,ENSCAF (add = in front),Hugo_Symbol (add = in front)
,ENSCAFG00000000840,SLC22A4,,
,ENSCAFG00000000842,NA,,
,ENSCAFG00000000843,UPK3A,,
,ENSCAFG00000000847,CEP43,,
,ENSCAFG00000000848,DLA-DMA,,
,ENSCAFG00000000850,KIAA0930,,
,ENSCAFG00000000851,IRF1,,
,ENSCAFG00000000853,GPR31,,
,ENSCAFG00000000854,NA,,
,ENSCAFG00000000855,IL5,,
,ENSCAFG00000000856,NUP50,,
,ENSCAFG00000000858,UNC93A,,
,ENSCAFG00000000860,AFDN,,
,ENSCAFG00000000861,PHF21B,,
,ENSCAFG00000000863,KIF25,,
,ENSCAFG00000000865,ENPP2,,
,ENSCAFG00000000866,DACT2,,
,ENSCAFG00000000867,RAD50,,
,ENSCAFG00000000868,SMOC2,,
,ENSCAFG00000000869,PRR5,,
,ENSCAFG00000000870,RTL6,,
,ENSCAFG00000000871,BRD2,,
,ENSCAFG00000000873,SHISAL1,,
,ENSCAFG00000000874,THBS2,,
,ENSCAFG00000000875,TAF2,,
,ENSCAFG00000000876,PARVG,,
,ENSCAFG00000000878,IL13,,
,ENSCAFG00000000880,IL4,,
,ENSCAFG00000000882,DSCC1,,
,ENSCAFG00000000883,NA,,
,ENSCAFG00000000884,WDR27,,
,ENSCAFG00000000885,DEPTOR,,
,ENSCAFG00000000886,DSE,,
,ENSCAFG00000000887,SAMM50,,
,ENSCAFG00000000889,CALHM5,,
,ENSCAFG00000000891,CALHM4,,
,ENSCAFG00000000893,PNPLA3,,
,ENSCAFG00000000894,NA,,
,ENSCAFG00000000895,PNPLA5,,
,ENSCAFG00000000896,DLA-DOA,,
,ENSCAFG00000000897,RSPH4A,,
,ENSCAFG00000000898,KIF3A,,
,ENSCAFG00000000899,SULT4A1,,
,ENSCAFG00000000900,NA,,
,ENSCAFG00000000901,ZUP1,,
