gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,source_file
ENSCAFG00000007279,PDE7A,195.960907,-0.272501235,0.557704189,0.002478105,0.19966276,ccl2
ENSCAFG00000007317,KCTD6,62.11958103,-0.189168537,0.301976818,0.002558228,0.19966276,ccl2
ENSCAFG00000007417,MAN2A1,3606.890081,0.247075796,0.497137911,0.002526967,0.19966276,ccl2
ENSCAFG00000007885,SLC12A6,1247.782538,-0.191713561,0.316267579,0.002564689,0.19966276,ccl2
ENSCAFG00000010340,PHC2,4926.804948,0.183101148,0.23392865,0.002513426,0.19966276,ccl2
ENSCAFG00000011164,UBA7,258.1655845,-0.265070854,0.53981949,0.002482935,0.19966276,ccl2
ENSCAFG00000011913,LAMB3,923.6522435,0.787048455,1.698710889,0.002547205,0.19966276,ccl2
ENSCAFG00000012052,IDH2,5053.14097,-0.196747517,0.326646066,0.002446904,0.19966276,ccl2
ENSCAFG00000013244,CDKN1B,727.5518384,-0.190479202,0.181790688,0.002438743,0.19966276,ccl2
ENSCAFG00000014466,,24.38069553,-0.182886011,0.242341165,0.002532895,0.19966276,ccl2
ENSCAFG00000015428,PRMT8,13.81298307,0.593939438,1.225400608,0.002547517,0.19966276,ccl2
ENSCAFG00000017556,TEX14,150.6618638,-0.462804241,0.964241885,0.002529449,0.19966276,ccl2
ENSCAFG00000018188,TNFAIP2,1420.545246,0.51456543,1.049327579,0.002413826,0.19966276,ccl2
ENSCAFG00000019197,TJP3,670.6719488,-0.681355955,1.415433637,0.002574374,0.19966276,ccl2
ENSCAFG00000019676,ERRFI1,7469.984034,0.443024858,0.908350088,0.002386728,0.19966276,ccl2
ENSCAFG00000020030,KYAT1,248.1908251,0.382047957,0.79901602,0.002492083,0.19966276,ccl2
ENSCAFG00000019348,ISG15,227.8720569,-0.678864215,1.413483577,0.002589639,0.199842438,ccl2
ENSCAFG00000006853,,42.93867354,-0.182192034,0.276662004,0.002699456,0.20604281,ccl2
