gene,Hugo_Symbol,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000006302,TTI2,0.029941631,0.121745005,0.013789945,0.767157803
ENSCAFG00000010865,NA,0.027417647,0.109699836,0.014036843,0.767157803
ENSCAFG00000011812,GNPAT,-0.030410304,0.133334846,0.014098236,0.767157803
ENSCAFG00000017670,UBFD1,-0.027751317,0.1108931,0.0139442,0.767157803
ENSCAFG00000019054,NA,0.0309217,0.254350589,0.013987458,0.767157803
ENSCAFG00000023898,MAP7D1,-0.030734601,0.13576258,0.013821664,0.767157803
ENSCAFG00000044812,NA,0.02983879,0.141729875,0.013606821,0.767157803
ENSCAFG00000046856,NA,0.025947252,0.184363927,0.013809215,0.767157803
ENSCAFG00000047233,NA,0.02545641,0.16296784,0.013915336,0.767157803
ENSCAFG00000048946,NA,-0.026653889,0.152927562,0.01357306,0.767157803
ENSCAFG00000015396,NA,0.027758142,0.142623945,0.014204313,0.76851496
ENSCAFG00000047086,NA,-0.027557882,0.216878478,0.014225149,0.76851496
ENSCAFG00000002967,CYB5R4,0.027998188,0.113507648,0.014278889,0.768663174
ENSCAFG00000007516,ARFGEF1,0.029386103,0.123882615,0.014545433,0.780225324
ENSCAFG00000015022,FAM53A,-0.024902801,0.152400358,0.014690432,0.785208807
ENSCAFG00000025850,NA,0.02485953,0.1807418,0.014756999,0.785979644
ENSCAFG00000009314,NQO2,-0.02819876,0.136459697,0.014910064,0.791335917
ENSCAFG00000019095,STAP2,0.029870673,0.253564067,0.015107738,0.799013796
ENSCAFG00000002645,KCNQ5,0.025874042,0.205710382,0.01525627,0.799277003
ENSCAFG00000004599,SLC9A3R1,0.024724582,0.144984936,0.015372323,0.799277003
ENSCAFG00000006073,POSTN,-0.046309304,0.43533754,0.015696012,0.799277003
ENSCAFG00000010703,CCDC28B,-0.024783076,0.142866895,0.01555968,0.799277003
ENSCAFG00000011781,GPER1,-0.029247101,0.251764466,0.015687802,0.799277003
ENSCAFG00000012784,BRMS1,0.025685114,0.105985924,0.015269268,0.799277003
ENSCAFG00000023063,APOL5,0.038079745,0.344065096,0.015610274,0.799277003
ENSCAFG00000028634,NA,0.023737375,0.167243794,0.015502118,0.799277003
ENSCAFG00000028722,FAM181B,-0.036267356,0.323593671,0.015412099,0.799277003
ENSCAFG00000030701,ZNF322,-0.028446926,0.129133162,0.015450544,0.799277003
ENSCAFG00000041352,NA,-0.028331029,0.241310676,0.015695159,0.799277003
ENSCAFG00000004360,ACSS1,0.023402952,0.155801104,0.015811119,0.799681659
ENSCAFG00000004448,ERCC1,0.026592423,0.113400016,0.015937183,0.799681659
ENSCAFG00000004466,GPBP1L1,-0.02731813,0.118755583,0.015983382,0.799681659
ENSCAFG00000018324,THOC1,0.027397261,0.118999248,0.015929511,0.799681659
ENSCAFG00000020337,EDC4,0.021916263,0.091343906,0.016046051,0.799681659
ENSCAFG00000020374,ELMO3,0.025763655,0.212855399,0.016072123,0.799681659
ENSCAFG00000030102,TPC3,-0.037004515,0.337477305,0.016075336,0.799681659
ENSCAFG00000020007,CDC14A,-0.023069711,0.160653532,0.016129082,0.799715944
ENSCAFG00000007475,SORBS2,0.038176022,0.351308859,0.016238428,0.802497809
ENSCAFG00000003688,VPS35,-0.023011219,0.09733206,0.016562564,0.806840021
ENSCAFG00000006456,NA,0.026098732,0.113848547,0.016647465,0.806840021
ENSCAFG00000009173,EXOC2,-0.025816407,0.111369581,0.016509827,0.806840021
ENSCAFG00000020354,CARMIL2,-0.032196697,0.291936513,0.016638544,0.806840021
ENSCAFG00000032060,RAB11B,-0.025730253,0.111146265,0.016576393,0.806840021
ENSCAFG00000041028,NA,-0.022644071,0.157782012,0.016587463,0.806840021
ENSCAFG00000005395,GDPD5,-0.02523149,0.212069204,0.016744651,0.807246393
ENSCAFG00000020195,ZNF326,-0.02167001,0.091828915,0.016762962,0.807246393
ENSCAFG00000041140,NA,-0.02633612,0.128473606,0.016858283,0.809251296
ENSCAFG00000004030,CMPK1,-0.026635636,0.121496235,0.016913516,0.809325163
ENSCAFG00000003583,ZMYM4,-0.026053101,0.118273464,0.017311969,0.812907512
ENSCAFG00000011928,HSCB,-0.025945488,0.115552958,0.017120817,0.812907512
ENSCAFG00000015795,EML3,-0.025934496,0.116072519,0.017206345,0.812907512
ENSCAFG00000019566,DIPK1B,0.029899611,0.272144613,0.017292437,0.812907512
ENSCAFG00000019689,LUC7L,-0.019278252,0.082403722,0.017196281,0.812907512
ENSCAFG00000029267,CDC42EP5,0.037406625,0.352504795,0.017206978,0.812907512
ENSCAFG00000002615,DNAAF3,-0.02217664,0.144887773,0.017409396,0.813074496
ENSCAFG00000006477,NA,-0.022955113,0.137386752,0.01742341,0.813074496
ENSCAFG00000010812,NCOA3,-0.025411893,0.127454365,0.01755708,0.816783552
ENSCAFG00000003165,BPGM,0.025893255,0.121624157,0.017621238,0.817245913
ENSCAFG00000008904,SHOX2,-0.023114707,0.190585151,0.01774144,0.820296707
ENSCAFG00000026225,NA,0.021602422,0.152699163,0.017825812,0.821677245
ENSCAFG00000002057,PDGFRA,-0.034794078,0.331099837,0.017995086,0.824270891
ENSCAFG00000005593,NCCRP1,0.037261462,0.358902704,0.018046135,0.824270891
ENSCAFG00000012077,KCNH1,0.02856748,0.262170186,0.017956829,0.824270891
