gene,Hugo_Symbol (add = in front),log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000019036,LIPG,0.161221597,0.696667104,0.007027583,0.463543043
ENSCAFG00000001448,PIM1,-0.045751191,0.211210319,0.007145507,0.464906201
ENSCAFG00000004009,GRWD1,0.040817632,0.138722981,0.007123624,0.464906201
ENSCAFG00000017708,NA,0.058775508,0.282158779,0.007144387,0.464906201
ENSCAFG00000030640,PID1,0.222381616,0.979382056,0.007171902,0.464906201
ENSCAFG00000031326,CEBPB,0.061243814,0.295854028,0.007266508,0.469017224
ENSCAFG00000016798,CREBRF,-0.068238818,0.328941105,0.007301934,0.469289652
ENSCAFG00000002953,HOXA6,-0.151620452,0.674204387,0.007541694,0.478563464
ENSCAFG00000041135,NA,-0.040408803,0.179396713,0.007521366,0.478563464
ENSCAFG00000047853,NA,-0.044157255,0.127105891,0.007505353,0.478563464
ENSCAFG00000002349,UBE2M,0.048169017,0.12087655,0.007629669,0.482111725
ENSCAFG00000009869,EHD4,0.051313361,0.252634533,0.007781267,0.489633754
ENSCAFG00000009771,TTC3,-0.037880319,0.13716213,0.007861226,0.492604053
ENSCAFG00000000884,WDR27,0.137921586,0.632873233,0.008079119,0.493715076
ENSCAFG00000002392,ZSCAN18,-0.169371748,0.767371708,0.008141588,0.493715076
ENSCAFG00000003939,HBP1,-0.040155591,0.187409558,0.008034067,0.493715076
ENSCAFG00000006096,NDUFAF7,0.04079393,0.125723248,0.008085323,0.493715076
ENSCAFG00000006474,PGGHG,-0.041247919,0.196751902,0.008114971,0.493715076
ENSCAFG00000009313,PHF21A,-0.036646698,0.143741376,0.008088688,0.493715076
ENSCAFG00000012992,SDHC,0.039097041,0.130035723,0.007973739,0.493715076
ENSCAFG00000017415,ZC3H14,-0.047105468,0.106098645,0.007915112,0.493715076
ENSCAFG00000013416,MTX2,-0.038112794,0.127315689,0.008388665,0.504257119
ENSCAFG00000014554,ACOX3,0.035857608,0.139026605,0.008412201,0.504257119
